block,logIndex,transactionHash,sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick,price,raw_price,is_zero_for_one,volume_token0,volume_token1,gas_used,gas_price
29307048,331,0x719c256c57b7f73b58ea2858550e23874337f99ce587c32849b88bdd4a633473,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x418457Ca08fA5EC77f811B105F2c585cd051Ac10,8112170817,-4998936,1967225315179601010988993824,10086357371625,-73918,1622.0004058418715,0.00061652265708341,True,8112170817,4998936,,
29307239,140,0x15f71f7919209b6b593325767808e7706cbc2bc4948323e7a2e9ac3826065c0b,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,-8137492498,5019559,1967264724012628507418756917,10086357371625,-73918,1621.9354217020752,0.0006165473585567235,False,8137492498,5019559,,
29307783,148,0xba04bb1f197a2a260c524f31af0e8d7e7c8ec97be7db3b7dcf68f8760e863a83,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,8137492498,-5014540,1967225334883627548975204826,10086357371625,-73918,1622.0003733494689,0.0006165226694337786,True,8137492498,5014540,,
29322356,543,0xd65509ac916f017d355dc85bf816d8ea69ee42e183a6bf1b4fa1bd356fa084fe,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xA28368E6ff479fc0F3B4Ef66B0AeBb58F463F33D,-2416960645348,1499780000,1979000190442777879404980985,10086357371625,-73799,1602.7563104545602,0.0006239251678356447,False,2416960645348,1499780000,,
29329922,530,0x89227e4ac3608681a3c0823dc0b1ece137d68ee7c4a2d98600250278100ef721,0x85CD07Ea01423b1E937929B44E4Ad8c40BbB5E71,0x85CD07Ea01423b1E937929B44E4Ad8c40BbB5E71,-1601948577,1000000,1979008041497972074773921613,10086357371625,-73799,1602.7435936762224,0.0006239301182956496,False,1601948577,1000000,,
29348591,131,0xd6ba22b499d3be4de50f7f69b318f2e47486d0343cbcdc3415ffe72c444cd271,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xA28368E6ff479fc0F3B4Ef66B0AeBb58F463F33D,1000000640000,-622078760,1974121623606767086708122160,10086357371625,-73848,1610.6877522338757,0.0006208527994411654,True,1000000640000,622078760,,
29356044,538,0x11f649204c469b9ca22bdfadcfbf69d3b945257664e1c26a5c7eefa7a931a31a,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,2000000000000,-1234986080,1964420829328360699724305449,10086357371625,-73947,1626.634977213297,0.0006147660747546266,True,2000000000000,1234986080,,
29356315,318,0xe70ba907979cbd59e71c47987c5f64448cce98ac5ed8c65b2878aa61d3d34971,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,-811289619303,500000000,1968346356925458384194619815,10086357371625,-73907,1620.1533606211988,0.0006172255196980736,False,811289619303,500000000,,
29356582,615,0x5a020b86d40a7d8cfe05349dd51a66fbe736fb5d1ceb73bf6488963b1d4bb3e5,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,200000000000,-123322659,1967377659568153135182169493,10086357371625,-73917,1621.7492155412915,0.0006166181493519206,True,200000000000,123322659,,
29356715,189,0x3258d66aed904f125de6ef94ca079db31dab698febabef160346c1b05ea57fb9,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xA28368E6ff479fc0F3B4Ef66B0AeBb58F463F33D,-2416715642211,1499860000,1979153143211719001241460903,10086357371625,-73797,1602.5085918343166,0.0006240216152946468,False,2416715642211,1499860000,,
29363238,3,0x94cd97312b4f8f3c1a0e145243b0a89294ef2a84ec5a240ce520bad0dd9f786e,0x92EBbBC944A7fB990976531cA642DaB1B12d70d1,0xdf23B29110Db8Afb0BCDab82dC5eE820c7F35AdC,-86535,55,1979153143635888066260520355,10086357371625,-73797,1602.508591147422,0.0006240216155621255,False,86535,55,,
29391132,434,0x7bff1bd56cb3695562634f6cfaab271f4a1b44120e06e23fb7f366266a062179,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1208000000000,-751194902,1973252520685901726506594577,10086357371625,-73857,1612.1068931622494,0.000620306261477759,True,1208000000000,751194902,,
29425530,270,0x5fb1c1e9d01be9ee5727b0d076a221fbd34d8d0a90afc359ea1faccef68c161d,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-540449298162,335860000,1975889376083424183118994142,10086357371625,-73830,1607.8070002912536,0.000621965198446611,False,540449298162,335860000,,
29522548,346,0x8111c34c2a3b51600212fc1c29a05fadaad17cb5b6db2a3eb0ad71c9512690b3,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,-8034855854,5000000,1975928631359395159963697285,10086357371625,-73830,1607.743117133169,0.0006219899120346663,False,8034855854,5000000,,
29525160,107,0x097493676d2ebb67450fb677cb3b138eeded671f12052cdb0ce83c97ea751304,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xC010bEAb5C3BE2d4811F35609D5B29441aCeAB23,-1606932860,1000000,1975936482414589355332637913,10086357371625,-73830,1607.7303409584424,0.0006219948548111953,False,1606932860,1000000,,
29610950,184,0x1f58f8da8412e2877d5d1ef5961c3279ce446716e427a90d831e4511d1194bbd,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,-801870188935,500000000,1979862010011687039802952279,10086357371625,-73790,1601.3612777568185,0.000624468702903068,False,801870188935,500000000,,
29615316,327,0x26ba26c77623a071f99dc1392689cf9a01efb07351e4e48c5aaef753d1d627ee,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1000000000000,-622614685,1974971382433935981616221670,10086357371625,-73840,1609.302008929241,0.0006213874055034308,True,1000000000000,622614685,,
29615388,175,0x83c39eb26438ab9216cc846b3011204690a0135dac1097e6acb2e4fcfd3ef106,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xA28368E6ff479fc0F3B4Ef66B0AeBb58F463F33D,-802300827823,499780000,1978895182798890943105369097,10086357371625,-73800,1602.9264115601763,0.0006238589574593572,False,802300827823,499780000,,
29615606,644,0xce91074b7cc63b0953204f8f7ff6c63b4404ee1ba8f7331c142be177202caa0d,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1000000000000,-622007501,1974009324647481882313032999,10086357371625,-73849,1610.8710175315925,0.0006207821663663322,True,1000000000000,622007501,,
29622158,2013,0x8649a0fcb409b8bef5d7d0af65f961cd6e9e05ea01db5d32e191df5610177cc1,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-594736530646,369930000,1976913665495470575145239785,10086357371625,-73820,1606.141340251833,0.0006226102117782525,False,594736530646,369930000,,
29629536,277,0x6717efb422bc15854c5c3f7a91daeb086dd4a44475ca3615b6c5abf5a77b3918,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x9F1FDB41B6792A5F7889B75bE0687ce4Bb5A26b6,-37322570108,23251185,1977096211829035117150264806,10086357371625,-73818,1605.8447621939104,0.0006227251995602593,False,37322570108,23251185,,
